Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,,FO-architecture_diagram,
2,Page,,,,,,,,,,Page 1,
3,MinimalTextBlock,Standard,2,,,,,,,,User/Player,
4,MinimalTextBlock,Standard,2,,,,,,,,Developer,
5,Amazon RDS,AWS Architecture 2019,2,15|17|19,,,,,,,Amazon RDS,
6,AWS Lambda,AWS Architecture 2019,2,15|17|19,,,,,,,handle-incoming-responses,
7,AWS Lambda,AWS Architecture 2019,2,15|17|19,,,,,,,contact-players,
8,Amazon EventBridge,AWS Architecture 2019,2,19,,,,,,,Amazon EventBridge,
9,Bucket with Objects,AWS Architecture 2019,2,19,,,,,,, terraform-state-bucket,
10,Amazon DynamoDB,AWS Architecture 2019,2,19,,,,,,,terraform-state-lock,
11,Amazon Simple Queue Service,AWS Architecture 2019,2,19,,,,,,,Amazon Simple Queue Service,
12,Amazon Simple Notification Service,AWS Architecture 2019,2,19,,,,,,,Amazon Simple Notification Service,
13,Amazon Pinpoint,AWS Architecture 2019,2,19,,,,,,,Amazon Pinpoint,
14,Layers,AWS Architecture 2019,2,19,,,,,,,utils_layer,
15,Private Subnet,AWS Architecture 2019,2,17|19,,,,,,,Private Subnet,
16,AWS Secrets Manager,AWS Architecture 2019,2,19,,,,,,,RDS Credentials,
17,Virtual Private Cloud,AWS Architecture 2019,2,19,,,,,,,Virtual Private Cloud,
18,ImageSearchBlock2,Standard,2,,,,,,,,,
19,AWS Cloud,AWS Architecture 2019,2,,,,,,,,AWS Cloud,
20,ImageSearchBlock2,Standard,2,,,,,,,,,
21,Line,,2,,,6,16,None,Arrow,,,
22,Line,,2,,,7,16,None,Arrow,,,
23,Line,,2,,,7,13,None,Arrow,,,
24,Line,,2,,,8,7,None,Arrow,,,
25,Line,,2,,,13,12,None,Arrow,,,
26,Line,,2,,,12,11,None,Arrow,,,
27,Line,,2,,,11,6,None,Arrow,,,
28,Line,,2,,,7,14,None,Arrow,,,
29,Line,,2,,,6,14,None,Arrow,,,
30,Line,,2,,,6,13,None,Arrow,,,
31,Line,,2,,,6,5,None,Arrow,,,
32,Line,,2,,,7,5,None,Arrow,,,
33,Line,,2,,,13,18,Arrow,Arrow,,,
34,Line,,2,,,20,10,Arrow,Arrow,,,
35,Line,,2,,,20,9,Arrow,Arrow,,,
